0	1	 5.773502691896258e-01 -5.773502691896258e-01  5.773502691896258e-01	7.071067811865476e-01 7.071067811865476e-01 0.000000000000000e+00	0	0	0
2	3	 5.773502691896258e-01  5.773502691896258e-01 -5.773502691896258e-01	-7.071067811865476e-01  7.071067811865476e-01  0.000000000000000e+00	0	0	2
4	5	 5.773502691896258e-01  5.773502691896258e-01 -5.773502691896258e-01	0.000000000000000e+00 7.071067811865476e-01 7.071067811865476e-01	0	0	4
6	7	 5.773502691896258e-01 -5.773502691896258e-01 -5.773502691896258e-01	7.071067811865476e-01 0.000000000000000e+00 7.071067811865476e-01	0	0	6
8	9	 5.773502691896258e-01 -5.773502691896258e-01 -5.773502691896258e-01	 0.000000000000000e+00 -7.071067811865476e-01  7.071067811865476e-01	0	0	8
10	11	 5.773502691896258e-01 -5.773502691896258e-01  5.773502691896258e-01	7.071067811865476e-01 7.071067811865476e-01 0.000000000000000e+00	0	0	10
12	13	-5.773502691896258e-01  5.773502691896258e-01  5.773502691896258e-01	 0.000000000000000e+00 -7.071067811865476e-01  7.071067811865476e-01	0	0	12
14	15	-5.773502691896258e-01 -5.773502691896258e-01  5.773502691896258e-01	7.071067811865476e-01 0.000000000000000e+00 7.071067811865476e-01	0	0	14
16	17	 5.773502691896258e-01 -5.773502691896258e-01 -5.773502691896258e-01	7.071067811865476e-01 7.071067811865476e-01 0.000000000000000e+00	0	0	16
18	19	 5.773502691896258e-01 -5.773502691896258e-01  5.773502691896258e-01	7.071067811865476e-01 7.071067811865476e-01 0.000000000000000e+00	0	0	18
20	21	5.773502691896258e-01 5.773502691896258e-01 5.773502691896258e-01	 7.071067811865476e-01  0.000000000000000e+00 -7.071067811865476e-01	0	0	20
22	23	-5.773502691896258e-01 -5.773502691896258e-01  5.773502691896258e-01	0.000000000000000e+00 7.071067811865476e-01 7.071067811865476e-01	0	0	22
24	25	 5.773502691896258e-01  5.773502691896258e-01 -5.773502691896258e-01	0.000000000000000e+00 7.071067811865476e-01 7.071067811865476e-01	0	0	24
26	27	-5.773502691896258e-01  5.773502691896258e-01 -5.773502691896258e-01	 7.071067811865476e-01  0.000000000000000e+00 -7.071067811865476e-01	0	0	26
28	29	5.773502691896258e-01 5.773502691896258e-01 5.773502691896258e-01	 0.000000000000000e+00 -7.071067811865476e-01  7.071067811865476e-01	0	0	28
30	31	 5.773502691896258e-01 -5.773502691896258e-01  5.773502691896258e-01	0.000000000000000e+00 7.071067811865476e-01 7.071067811865476e-01	0	0	30
32	33	-5.773502691896258e-01 -5.773502691896258e-01  5.773502691896258e-01	-7.071067811865476e-01  7.071067811865476e-01  0.000000000000000e+00	0	0	32
34	35	-5.773502691896258e-01 -5.773502691896258e-01 -5.773502691896258e-01	 7.071067811865476e-01  0.000000000000000e+00 -7.071067811865476e-01	0	0	34
36	37	-5.773502691896258e-01  5.773502691896258e-01 -5.773502691896258e-01	 7.071067811865476e-01  0.000000000000000e+00 -7.071067811865476e-01	0	0	36
38	39	-5.773502691896258e-01  5.773502691896258e-01 -5.773502691896258e-01	0.000000000000000e+00 7.071067811865476e-01 7.071067811865476e-01	0	0	38
40	41	-5.773502691896258e-01 -5.773502691896258e-01  5.773502691896258e-01	7.071067811865476e-01 0.000000000000000e+00 7.071067811865476e-01	0	0	40
