0	 9.526267625355582e+01 -5.765834565422655e+01  2.218026117942510e+03	 3.912872708109479e-15 -3.555197173839740e-15 -1.893041981044551e-15	0	0
1	-1.011898816454379e+02  1.387942122447672e+02  2.610931233740497e+03	-1.171146478416867e-15  1.606987658027244e-15 -2.764638161758283e-15	0	0
2	 2.951775158886786e+02 -2.575731852893493e+02  2.610931233740497e+03	-2.955425340810427e-15  2.697380519192299e-15  2.838493037799410e-15	0	0
3	 4.916300737876722e+02 -4.540257431883430e+02  2.218026117942510e+03	 6.201485925707399e-16 -8.781934141888676e-16  2.838493037799409e-15	0	0
4	-1.034655670999704e+02 -2.188135452338854e+02  2.297783247891409e+03	-3.842180062436681e-15 -3.490966540017609e-15 -1.858840984489680e-15	4	0
5	 1.046343335342077e+02 -1.071364459970738e+01  2.713983049159765e+03	 1.149987741804229e-15  1.577954715331707e-15 -2.714690309997704e-15	4	0
6	-2.422837867577745e+02 -3.576317648916896e+02  2.713983049159765e+03	2.902030596842058e-15 2.648647790194298e-15 2.787210873125362e-15	4	0
7	-4.503836873919525e+02 -5.657316655258676e+02  2.297783247891409e+03	-6.089445621845157e-16 -8.623273688322764e-16  2.787210873125359e-15	4	0
8	-6.173662594880277e+00  1.307680687593235e+02  2.948850424355182e+03	 6.383844101987295e-15 -7.105427357601002e-15 -1.065814103640150e-14	8	0
9	-4.551902842402825e+02 -9.374024206337765e+01  3.173358735177883e+03	-2.176310489313831e-16  3.552713678800501e-15  0.000000000000000e+00	8	0
10	 1.942999636175932e+02 -4.184853659923155e+02  3.498103859106821e+03	-6.383844101987294e-15  7.105427357601002e-15  7.105427357601002e-15	8	0
11	 6.433165852629954e+02 -1.939770551696144e+02  3.273595548284120e+03	-2.176310489313868e-16  1.776356839400250e-15  5.329070518200751e-15	8	0
12	 1.499608695060939e+02 -2.694452520734736e+02  2.052837920563747e+03	-6.843362455419758e-15  7.105427357601002e-15 -7.105427357601002e-15	12	0
13	7.047416602605196e+02 7.945143303739201e+00 2.330228315940960e+03	 2.332964473438560e-16 -7.105427357601002e-15 -3.552713678800501e-15	12	0
14	1.841139390952867e+01 3.511102764792346e+02 2.673393449116455e+03	 6.843362455419759e-15 -3.552713678800501e-15  3.552713678800501e-15	12	0
15	-5.363693968448970e+02  7.371988110202182e+01  2.396003053739243e+03	 2.332964473438574e-16 -5.329070518200751e-15  8.881784197001252e-15	12	0
