12
6
20
0	-5.000000000000000e+01 -2.000000000000021e+00  4.980629143659130e+01	 2.185198570457939e-18 -2.373303323984146e-01  0.000000000000000e+00	1.000000000000000e+00	0	1	0
1	-5.000000000000000e+01 -5.000000000000000e+01  4.980629143659130e+01	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	0	1	1
2	 5.000000000000000e+01 -5.000000000000000e+01  4.980629143659130e+01	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	0	1	2
3	 5.000000000000000e+01 -1.999999999999972e+00  4.980629143659130e+01	-2.461455476926867e-18 -2.457544505596161e-01  0.000000000000000e+00	1.000000000000000e+00	0	1	3
4	-5.000000000000000e+01  2.000000000000014e+00  4.980629143659130e+01	-2.213085254373748e-18  2.403590530157089e-01  0.000000000000000e+00	1.000000000000000e+00	4	1	4
5	-5.000000000000000e+01 -5.000000000000000e+01  4.980629143659130e+01	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	4	1	5
6	 5.000000000000000e+01 -5.000000000000000e+01  4.980629143659130e+01	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	4	1	6
7	5.000000000000000e+01 1.999999999999972e+00 4.980629143659130e+01	2.490138698915985e-18 2.486182153224945e-01 0.000000000000000e+00	1.000000000000000e+00	4	1	7
8	-4.499999999999986e+00  7.216878364870329e+00  5.307227776030221e+01	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	8	0	8
9	5.499999999999996e+00 7.216878364870315e+00 5.307227776030221e+01	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	8	0	9
10	4.999999999999962e-01 1.587713240271471e+01 5.307227776030220e+01	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	8	0	10
11	4.999999999999968e-01 1.010362971081846e+01 4.490731195102495e+01	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	8	0	11
0	4.999999999999996e-01 2.886751345948129e-01 0.000000000000000e+00	0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00	-0.000000000000000e+00 -0.000000000000000e+00  4.980629143659130e+01	1	0	-1	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	4.800000000000000e+03
1	 4.999999999999996e-01 -2.886751345948129e-01  0.000000000000000e+00	0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00	-0.000000000000000e+00 -0.000000000000000e+00  4.980629143659130e+01	1	0	-1	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.200000000000000e+03
2	-1.850371707708594e-17  0.000000000000000e+00  8.164965809277263e-01	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	-4.499999999999986e+00  7.216878364870329e+00  5.307227776030221e+01	1	1	-1	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	4.330127018922185e+01
3	1.666666666666665e-01 9.622504486493762e-02 5.443310539518175e-01	 8.164965809277263e-01  4.714045207910315e-01 -3.333333333333331e-01	-7.999999999999998e+00 -4.618802153517001e+00  3.265986323710900e+00	1	0	-1	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	4.330127018922192e+01
4	-1.666666666666665e-01  9.622504486493762e-02  5.443310539518175e-01	-8.164965809277263e-01  4.714045207910315e-01 -3.333333333333331e-01	 8.666666666666666e+00 -5.003702332976752e+00  3.538151850686809e+00	1	0	-1	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	4.330127018922181e+01
5	 0.000000000000000e+00 -1.924500897298752e-01  5.443310539518175e-01	 0.000000000000000e+00 -9.428090415820634e-01 -3.333333333333333e-01	0.000000000000000e+00 2.309401076758503e+01 8.164965809277259e+00	1	0	-1	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	4.330127018922186e+01
0	0	1	1
0	3	0	0
0	1	2	1
0	2	3	1
1	4	5	1
1	7	4	0
1	5	6	1
1	6	7	1
2	8	9	0
2	10	8	0
2	9	10	0
3	10	9	0
3	9	11	0
3	11	10	0
4	8	10	0
4	11	8	0
4	10	11	0
5	9	8	0
5	8	11	0
5	11	9	0
