0	 7.919595949289331e+01 -4.171930009000631e+01  3.599173516239526e+02	-4.045170587405979e-16  4.380257441475930e-01  4.380257441475930e-01	3	0
1	-6.123544725075501e+02 -4.136574669941303e+02  6.795296167202721e+02	 2.321657898880637e-17 -2.331056635612715e+00 -2.331056635612711e+00	3	0
2	-1.117228714274745e+02 -6.887220048756973e+02  9.050966799187808e+02	 4.050303991372384e-16 -1.874286390533655e-01 -1.874286390533655e-01	3	0
3	 5.798275605729689e+02 -3.196122650963194e+02  5.826559876977151e+02	-1.687556689520283e-17  2.352241333741659e+00  2.352241333741663e+00	3	0
4	1.343502884254440e+01 3.747665940288698e+01 2.525785422398348e+03	-4.195737705419833e-16 -5.031741852780556e-01 -5.031741852780414e-01	4	0
5	-6.031620843521248e+02 -2.651650429449553e+02  2.839740833245175e+03	-2.381653439965742e-17 -2.245908386960835e+00 -2.245908386960849e+00	4	0
6	 6.858935777509510e+01 -6.173042199758559e+02  3.159353098341494e+03	 4.192084352787924e-16 -2.944993338433335e-01 -2.944993338432909e-01	4	0
7	 6.851864709697643e+02 -2.983990616607231e+02  2.861661143461958e+03	2.670375510775912e-17 2.341332268806326e+00 2.341332268806326e+00	4	0
8	-3.754737008100567e+02  6.788225099390866e+01  1.966463958479789e+03	 6.327480297186172e-02  6.327480297186172e-02 -2.693844040735819e-19	8	0
9	-6.045762979144981e+02  2.927422074112305e+02  2.420426512001552e+03	-2.188795772150859e-01 -2.188795772150874e-01  5.048384244379201e-16	8	0
10	-2.927422074112305e+02 -2.192031021678304e+01  3.046923120132833e+03	 4.240549500642981e-02  4.240549500642993e-02 -6.697378612664611e-20	8	0
11	-6.858935777509510e+01 -2.517300141024109e+02  2.592960566611070e+03	 1.910431754043566e-01  1.910431754043581e-01 -5.048627832573877e-16	8	0
12	1.986970055134198e+02 2.064751801064718e+02 1.642609052696350e+03	-2.363270348805173e-01  3.956251307479958e-16  2.363270348805315e-01	12	0
13	4.164858941188764e+02 6.943788591251896e+02 1.912723843109611e+03	-1.950034096999431e+00 -4.598586991766081e-18  1.950034096999431e+00	12	0
14	7.198347032479054e+02 5.374011537017759e+01 2.250013777735594e+03	-1.519161925044017e-01 -3.958259221942814e-16  1.519161925044017e-01	12	0
15	 4.970960671741429e+02 -4.341635636485402e+02  1.984848734790639e+03	 1.812560614419446e+00  6.561447579975693e-18 -1.812560614419461e+00	12	0
16	1.159655121145937e+02 1.626345596729061e+01 1.963635531355042e+03	-3.504143166230007e-01 -3.504143166229982e-01 -3.198677168953312e-19	16	0
17	-1.152584053334074e+02  2.503158005400378e+02  2.428911793375791e+03	1.720197317685156e-01 1.720197317685158e-01 3.963395166682425e-16	16	0
18	 2.375878784786801e+02 -9.121677477306457e+01  3.123290652500980e+03	-2.626642005820288e-01 -2.626642005820305e-01  3.429967433626569e-21	16	0
19	 4.603265145524424e+02 -3.337544007200505e+02  2.658014390480232e+03	 1.569713412434633e-01  1.569713412434649e-01 -3.982716868647675e-16	16	0
20	-1.025304832720494e+02 -1.499066376115480e+02  2.524371208835975e+02	-1.947384395249612e-01  1.947384395249634e-01  1.010759160320431e-18	20	0
21	1.555634918610404e+02 9.545941546018392e+01 7.558971490884192e+02	 2.396791041418309e-01 -2.396791041418307e-01  5.108063222983088e-16	20	0
22	-1.470782104868018e+02 -1.986970055134199e+02  1.352695272409865e+03	-4.656571617958509e-01  4.656571617958492e-01  1.743225221973346e-18	20	0
23	-3.945655839020935e+02 -4.546696603029500e+02  8.492352442050435e+02	 2.031854430540155e-01 -2.031854430540131e-01 -5.125328717325393e-16	20	0
24	-1.202081528017131e+02 -2.255670631985085e+02  2.329916844009674e+03	 2.437360911425247e-02  2.437360911425356e-02 -1.175396650016763e-20	24	0
25	-3.139554108468271e+02 -1.767766952966372e+01  2.731553495723633e+03	-4.790749108838331e-01 -4.790749108838301e-01  4.636230953074306e-16	24	0
26	-6.717514421272199e+01 -2.743574311003804e+02  3.235013523928455e+03	 2.842796475589359e-01  2.842796475589343e-01 -4.195218340513173e-19	24	0
27	 1.216223663640860e+02 -4.871965722375312e+02  2.833376872214496e+03	 5.338982675610996e-01  5.338982675610954e-01 -4.632337692234772e-16	24	0
28	 1.972827919510469e+02 -1.732411613907041e+02  2.921765219862814e+03	 4.984454232076472e-16  6.066654038340857e-02 -6.066654038341568e-02	28	0
29	6.950859659063760e+02 1.004091629284896e+02 3.145918069498950e+03	-4.789730842016596e-18  2.257933940552761e+00 -2.257933940552775e+00	28	0
30	1.590990257669732e+02 3.910300499961609e+02 3.391284122570682e+03	-5.003731523458317e-16 -6.090116718941374e-02  6.090116718942795e-02	28	0
31	-3.387041481883562e+02  1.216223663640862e+02  3.162888632247427e+03	-1.213497920167252e-17 -1.435041468031429e+00  1.435041468031429e+00	28	0
32	-4.737615433949867e+02 -2.390020920410531e+02  1.144098771959834e+03	4.434783539410445e-02 4.434783539410849e-02 1.106907561687243e-19	32	0
33	-7.375123727775690e+02  1.909188309203682e+01  1.665943576475506e+03	-1.441780400879111e-02 -1.441780400879278e-02  5.218291186882373e-16	32	0
34	-4.263853890554881e+02 -2.835498192558055e+02  2.279712262545429e+03	1.095670017165202e-01 1.095670017165199e-01 2.277168727865772e-20	32	0
35	-1.689985207035850e+02 -5.480077554195744e+02  1.757867458029757e+03	-1.486845053045306e-01 -1.486845053045366e-01 -5.217276333330568e-16	32	0
36	-9.899494936611632e+00 -1.131370849898474e+01  1.538664355861927e+03	 4.352641703534651e-01 -4.352641703534634e-01  1.182039947529882e-18	37	0
37	2.347594513539337e+02 2.588010819142763e+02 2.053438092565734e+03	-9.125526932563736e-01  9.125526932563742e-01  4.233422397254779e-16	37	0
38	4.525483399593895e+01 4.808326112068517e+01 2.453660530717319e+03	-3.397547357164146e-01  3.397547357164132e-01 -4.950177308219019e-21	37	0
39	-2.142533546995238e+02 -2.071822868876584e+02  1.938886794013513e+03	-8.410045311981026e-02  8.410045311980921e-02 -4.651708573733270e-16	37	0
40	-1.237436867076458e+02  1.753624817342637e+02  1.317339933350538e+03	6.816021766973636e-01 6.816021766973656e-01 5.134539936607254e-18	37	0
41	-3.959797974644666e+02  4.560838738653232e+02  1.870297436238418e+03	5.952513788471876e-02 5.952513788472018e-02 5.164794346412081e-16	37	0
42	-1.145512985522207e+02  1.788980156401965e+02  2.428911793375791e+03	-6.645622982184638e-01 -6.645622982184665e-01  0.000000000000000e+00	37	0
43	 1.534421715174809e+02 -1.060660171779821e+02  1.875954290487910e+03	 7.376103702260314e-01  7.376103702260318e-01 -5.161508941139255e-16	37	0
44	4.384062043356593e+01 2.474873734152916e+01 5.748778131046631e+02	 1.892222879736429e-01  1.892222879736445e-01 -6.897321517187645e-19	44	0
45	-2.015254326381660e+02  2.531442276647840e+02  1.048639356499650e+03	1.546444451566928e-01 1.546444451566916e-01 4.760548059889932e-16	44	0
46	4.949747468305827e+01 3.747665940288698e+01 1.515329832082771e+03	-9.232738476040523e-01 -9.232738476040541e-01  1.800790265348359e-18	44	0
47	 2.771858582251266e+02 -2.085965004500315e+02  1.041568288687784e+03	-2.372694034530925e-02 -2.372694034530982e-02 -4.759985752065854e-16	44	0
48	5.091168824543161e+01 4.384062043356607e+01 2.190616808115924e+03	-3.401913392030477e-16  6.221885758198908e-01  6.221885758198908e-01	154	0
49	-6.151828996322961e+02 -2.687005768508880e+02  2.544170198709198e+03	5.348697815975293e-18 1.944262052821458e+00 1.944262052821472e+00	154	0
50	 9.192388155425124e+01 -6.038691911333115e+02  2.916108365613321e+03	3.448698921433157e-16 1.455018764708313e-01 1.455018764708456e-01	154	0
51	 7.580184694319789e+02 -2.899137802864843e+02  2.563969188582421e+03	 1.183291357831518e-30 -2.099457356637956e+00 -2.099457356637956e+00	154	0
52	-4.574980874276962e+02 -4.737615433949861e+01  1.134199277023222e+03	 2.607318367761486e-01  5.011709841213324e-16 -2.607318367761415e-01	52	0
53	-2.248599564173221e+02  4.645691552395617e+02  1.413506455591908e+03	-1.977136973374829e+00  3.305649120483242e-18  1.977136973374829e+00	52	0
54	 2.828427124746190e+01 -7.000357133746820e+01  1.694934954504154e+03	 1.096852421730077e-01 -4.971366024787330e-16 -1.096852421730148e-01	52	0
55	-2.149604614807104e+02 -5.819488809165285e+02  1.426234377653266e+03	 1.897980360677913e+00  9.455336553656437e-19 -1.897980360677913e+00	52	0
56	-5.161879502661805e+01  7.071067811865532e+00  2.884288560459927e+03	-5.069478029895027e-16 -4.366610414477634e-02 -4.366610414476924e-02	56	0
57	-5.508361825443205e+02 -2.255670631985085e+02  3.150867816967256e+03	3.103038981501326e-18 1.971283691394703e+00 1.971283691394689e+00	56	0
58	 2.616295090390236e+01 -4.956818536117698e+02  3.457752160002217e+03	5.068372364505043e-16 1.126414485435561e-01 1.126414485435561e-01	56	0
59	 5.253803384216048e+02 -2.679934700697015e+02  3.186223156026583e+03	 1.992885878595344e-18 -1.936273433461480e+00 -1.936273433461452e+00	56	0
60	-8.202438661763949e+01  5.303300858899115e+01  2.072529975657771e+03	-1.250134226717295e+00 -1.250134226717294e+00  8.614923001687390e-18	37	0
61	-3.259762261269984e+02  3.309259735953042e+02  2.594374780173443e+03	5.755759024954229e-02 5.755759024954302e-02 4.601222681932826e-16	37	0
62	-1.491995308303615e+02  1.315218613006978e+02  2.970555587764686e+03	-3.877524066836152e-01 -3.877524066836168e-01 -1.134500080171203e-18	37	0
63	 1.187939392393400e+02 -1.223294731452727e+02  2.448710783249014e+03	-6.671916454791471e-02 -6.671916454791449e-02 -4.600595750182384e-16	37	0
64	 8.485281374238554e+00 -3.394112549695429e+01  2.969848480983499e+02	 5.015972437634276e-16 -4.797033729549707e-01  4.797033729549707e-01	64	0
65	6.052834046956846e+02 2.877924599429248e+02 5.720493859799169e+02	 2.393079586928432e-18  1.939380058772917e+00 -1.939380058772917e+00	64	0
66	6.788225099390854e+01 5.805346673541554e+02 8.167083322704623e+02	-5.222939001177686e-16 -1.101425267488843e-01  1.101425267488878e-01	64	0
67	-5.289158723275375e+02  2.566797615707167e+02  5.437651147324550e+02	-9.052160554228453e-18 -1.717419049255945e+00  1.717419049255945e+00	64	0
68	-5.091168824543161e+01 -1.258650070512056e+02  2.134048265621000e+03	 3.746325483974885e-16  3.268929715029003e-01 -3.268929715029003e-01	37	0
69	3.266833329081850e+02 8.555992052357226e+01 2.300218359199839e+03	-3.465120162119323e-18  2.167275961593184e+00 -2.167275961593184e+00	37	0
70	-5.091168824543138e+01  2.842569260369919e+02  2.479116374840035e+03	-4.217244526920152e-16  6.524531149875372e-01 -6.524531149875230e-01	37	0
71	-4.285067093990477e+02  9.263098833543768e+01  2.293147291387973e+03	-2.623735067752846e-18 -2.607489606651278e+00  2.607489606651278e+00	37	0
72	-9.404520189781078e+01 -3.747665940288698e+01  4.751757569573599e+02	-4.613230016231062e-16 -4.273673930745545e-01 -4.273673930745563e-01	72	0
73	-6.526595590351833e+02 -2.941564209736038e+02  7.771103525240156e+02	-7.165571677258786e-18  2.117610235943987e+00  2.117610235943996e+00	72	0
74	-2.934493141924172e+02 -4.582051942088827e+02  9.722718241315027e+02	 4.608329106077109e-16 -7.533158601987822e-02 -7.533158601987822e-02	72	0
75	 2.651650429449553e+02 -1.902117241391812e+02  6.816509370638317e+02	 1.593945848010097e-17 -2.254163529958429e+00 -2.254163529958428e+00	72	0
76	 3.705239533417509e+02 -1.470782104868018e+02  2.300925465981025e+03	 9.498793454138175e-01 -9.498793454138135e-01  1.621870118336268e-17	76	0
77	6.229610742253483e+02 1.209152595828996e+02 2.821356056934324e+03	 2.266015265683244e-01 -2.266015265683256e-01  4.028418206024875e-16	76	0
78	 2.906208870676710e+02 -2.057680733252855e+02  3.480379577000187e+03	-1.346043705897556e-01  1.346043705897612e-01  3.280041958921013e-20	76	0
79	 4.666904755831206e+01 -4.822468247692254e+02  2.959948986046888e+03	 6.689538278479684e-01 -6.689538278479678e-01 -4.032410577066713e-16	76	0
80	-2.757716446627536e+01  1.230365799264592e+02  2.849640328181786e+02	-1.205905858414953e-01 -4.887931605797566e-16 -1.205905858414953e-01	64	0
81	-2.764787514439400e+02 -3.889087296526011e+02  5.480077554195743e+02	 1.841297377828447e+00 -2.464167564806307e-17  1.841297377828450e+00	64	0
82	-4.702260094890540e+02  6.081118318204312e+01  8.039804102091044e+02	-2.496411538700762e-01  4.801064263236957e-16 -2.496411538700798e-01	64	0
83	-2.312239174480010e+02  5.727564927611035e+02  5.310371926710972e+02	-2.188671044152398e+00 -1.310414893475911e-18 -2.188671044152397e+00	64	0
84	-1.046518036156090e+02  1.414213562373106e+01  2.466388452778678e+03	 3.873997492462739e-16  4.309309915129091e-01 -4.309309915128949e-01	84	0
85	3.408254685319157e+02 2.220315292925759e+02 2.703976331257358e+03	-3.037238476333157e-18 -1.363929659684871e+00  1.363929659684871e+00	84	0
86	-2.983990616607232e+02  5.260874452027913e+02  3.039144945539781e+03	-3.890637497534038e-16  1.156280936950509e-01 -1.156280936950509e-01	84	0
87	-7.438763338082479e+02  3.252691193458120e+02  2.794485999249236e+03	 4.562564630350973e-18  1.941152661755694e+00 -1.941152661755709e+00	84	0
88	7.071067811865475e-01 2.474873734152916e+01 2.687005768508881e+01	-4.481826964748041e-16  3.566493647611479e-02  3.566493647611413e-02	88	0
89	-4.249711754931150e+02 -2.064751801064719e+02  2.213244225113894e+02	-3.842956312167110e-18 -2.415922584023559e+00 -2.415922584023559e+00	88	0
90	-1.626345596729061e+01 -4.362848839920998e+02  4.002224381515858e+02	4.482995934339934e-16 1.071567693138871e-01 1.071567693138871e-01	88	0
91	 4.094148263070110e+02 -2.015254326381660e+02  2.093036072312181e+02	4.781311984687570e-18 2.216804123686908e+00 2.216804123686906e+00	88	0
92	-1.407142494561230e+02  3.153696244092000e+02  2.134755372402187e+03	 1.683593783529142e-01 -1.683593783529156e-01 -5.224548532306619e-19	197	0
93	1.930401512639273e+02 6.660945878777277e+02 2.819234736590764e+03	-1.625459522894761e-01  1.625459522894712e-01  3.438163120402901e-16	197	0
94	-1.456639969244286e+02  3.217335854398791e+02  3.502299887216970e+03	 1.580547703544357e-01 -1.580547703544349e-01 -3.887262708109642e-19	197	0
95	-4.949747468305832e+02 -1.343502884254440e+01  2.817820523028392e+03	 4.841794343728197e-01 -4.841794343728232e-01 -3.431243677201659e-16	197	0
96	1.131370849898476e+02 2.736503243191939e+02 1.129249529554916e+03	 2.228471899507757e-03  2.228471899510085e-03 -5.795475416236384e-22	96	0
97	-1.371787155501902e+02  5.253803384216048e+02  1.631295344197365e+03	-3.009074116257516e-01 -3.009074116257501e-01  5.031323143155862e-16	96	0
98	1.470782104868018e+02 2.552655480083437e+02 2.185667060647618e+03	 7.177851520626574e-01  7.177851520626554e-01 -8.129638558507035e-19	96	0
99	 3.910300499961608e+02 -2.828427124746099e+00  1.683621246005169e+03	 1.303166285690074e-01  1.303166285690100e-01 -5.029674289389695e-16	96	0
100	1.272792206135784e+01 2.170817818242701e+02 8.294362543318202e+02	-3.925509701900995e-16 -9.640659817395303e-02 -9.640659817395303e-02	100	0
101	-4.002224381515859e+02  3.676955262170043e+01  1.062074385342194e+03	-1.526418923281385e-17  2.398604544906469e+00  2.398604544906462e+00	100	0
102	 2.998132752230961e+02 -2.969848480983500e+02  1.428355697996826e+03	 3.924024263130438e-16 -2.290304154776379e-02 -2.290304154777800e-02	100	0
103	 7.127636354360397e+02 -1.088944443027283e+02  1.203495741579504e+03	 1.295693922444863e-17 -2.187201624070681e+00 -2.187201624070681e+00	100	0
104	-7.778174593051972e+00 -5.055813485483814e+02  2.264155913359325e+03	 3.826514505105973e-01  3.826514505105982e-01 -3.222751958555830e-19	104	0
105	-1.986970055134198e+02 -2.948635277547903e+02  2.665792565073284e+03	-1.787767735328776e-01 -1.787767735328780e-01  4.724094339824020e-16	104	0
106	 5.515432893255070e+01 -5.798275605729691e+02  3.204607932337433e+03	1.462850316306135e-01 1.462850316306152e-01 7.729698686338219e-19	104	0
107	 2.609224022578362e+02 -7.756961389616424e+02  2.802971280623474e+03	 2.998995800360977e-02  2.998995800360543e-02 -4.723685046320616e-16	104	0
114	-2.665792565073284e+02 -2.085965004500315e+02  5.388153672641491e+02	-1.319239634297876e+01 -6.277164459575499e+00  6.915231883403266e+00	3	0
