0	3.861558082289659e+02 1.000000000000000e+03 2.431692270270615e+02	-3.373993990862800e-07 -4.463331754896291e-18 -3.373993990862800e-07	1.000000000000000e+00	0	1
1	1.000000000000000e+03 1.000000000000000e+03 8.570134187980955e+02	-2.596540725789964e-04  9.495319988830431e-19 -2.596540725789964e-04	1.000000000000000e+00	0	1
2	 1.000000000000000e+03 -1.429865812019045e+02  2.000000000000000e+03	 7.983729010447860e-04 -5.218168598641503e-19  7.983729010447860e-04	1.000000000000000e+00	0	1
3	 1.429865812019047e+02 -1.000000000000000e+03  2.000000000000000e+03	-3.379867877811193e-03  1.169069248972220e-18 -3.379867877811193e-03	1.000000000000000e+00	0	1
4	-6.138441917710342e+02 -1.000000000000000e+03  1.243169227027061e+03	 1.350955199450254e-02 -4.394660874803364e-18  1.350955199450254e-02	1.000000000000000e+00	0	1
5	-2.805108584377008e+02 -3.333333333333334e+02  9.098358936937282e+02	2.926151733845472e-03 5.949712656722681e-19 2.926151733845472e-03	1.000000000000000e+00	0	0
6	1.639335860067436e+02 5.555555555555555e+02 4.653914492492837e+02	-3.937325906008482e-03  3.368936856107755e-18 -3.937325906008482e-03	1.000000000000000e+00	0	0
7	-3.005958877053933e+02 -9.999999999999995e+02  7.134227919873014e+01	-2.761466428637505e-03  2.110773637718674e-18  2.761466428637505e-03	1.000000000000000e+00	7	1
8	-9.999999999999999e+02 -9.999999999999999e+02  7.707463914933367e+02	 5.349936545826495e-04 -4.151124995493704e-19 -5.349936545826495e-04	1.000000000000000e+00	7	1
9	-1.000000000000000e+03  2.292536085066631e+02  2.000000000000000e+03	-1.075302861863747e-04  1.015879444957583e-19  1.075302861863747e-04	1.000000000000000e+00	7	1
10	-2.292536085066631e+02  1.000000000000000e+03  2.000000000000000e+03	-2.951987553387880e-04  1.348443855942833e-19  2.951987553387880e-04	1.000000000000000e+00	7	1
11	6.994041122946065e+02 1.000000000000000e+03 1.071342279198730e+03	 1.169631956145167e-03 -5.778263448146698e-19 -1.169631956145167e-03	1.000000000000000e+00	7	1
12	3.660707789612733e+02 3.333333333333337e+02 7.380089458653970e+02	 6.449413020163774e-03 -3.511373842071783e-18 -6.449413020163774e-03	1.000000000000000e+00	7	0
13	-7.837366548317107e+01 -5.555555555555551e+02  2.935645014209524e+02	-1.090635731816292e-02  2.697072018065900e-17  1.090635731816292e-02	1.000000000000000e+00	7	0
14	-2.320820356314093e+02 -4.410836200581834e+02  2.000000000000000e+03	 2.791083883494139e-03  2.791083883494139e-03 -7.402163023412452e-18	1.000000000000000e+00	14	1
15	-7.909984155732260e+02 -1.000000000000000e+03  2.000000000000000e+03	-2.793488558381796e-03 -2.793488558381796e-03 -1.117125305033610e-18	1.000000000000000e+00	14	1
16	 3.268343443104104e+02 -1.000000000000001e+03  8.821672401163626e+02	6.984763778746128e-03 6.984763778746128e-03 7.052491444609748e-18	1.000000000000000e+00	14	1
17	 1.405288843298038e+02 -8.136945400193953e+02  1.254778160077575e+03	7.279676385223866e-03 7.279676385223866e-03 3.258664126518362e-17	1.000000000000000e+00	14	0
18	-1.078783956443383e+02 -5.652872600452540e+02  1.751592720025858e+03	2.074007131159306e-02 2.074007131159306e-02 1.203605859343656e-17	1.000000000000000e+00	14	0
19	-1.000000000000000e+03  9.631753364359366e+01  1.780192852223281e+03	1.825423445552588e-03 1.825423445552588e-03 1.061244866462504e-16	1.000000000000000e+00	19	1
