0	1.900000000000000e+03 0.000000000000000e+00 0.000000000000000e+00	3.552713678800501e-15 3.139439479645855e+01 0.000000000000000e+00	0	0
1	1.598381712379244e+03 1.027217553165635e+03 0.000000000000000e+00	-1.697309126628111e+01  2.641064553361761e+01  0.000000000000000e+00	0	0
2	7.892885247035842e+02 1.728300791173585e+03 0.000000000000000e+00	-2.855734598165009e+01  1.304170292255718e+01  0.000000000000000e+00	0	0
3	-2.703981927192415e+02  1.880660739573772e+03  0.000000000000000e+00	-3.107484512440985e+01 -4.467888218145660e+00  0.000000000000000e+00	0	0
4	-1.244235394496041e+03  1.435924191273091e+03  0.000000000000000e+00	-2.372630050453310e+01 -2.055895641817687e+01  0.000000000000000e+00	0	0
5	-1.823036649867545e+03  5.352918579987171e+02  0.000000000000000e+00	-8.844823116495554e+00 -3.012270121808151e+01  0.000000000000000e+00	0	0
6	-1.823036649867545e+03 -5.352918579987158e+02  0.000000000000000e+00	 8.844823116495540e+00 -3.012270121808151e+01  0.000000000000000e+00	0	0
7	-1.244235394496042e+03 -1.435924191273090e+03  0.000000000000000e+00	 2.372630050453308e+01 -2.055895641817689e+01  0.000000000000000e+00	0	0
8	-2.703981927192419e+02 -1.880660739573772e+03  0.000000000000000e+00	 3.107484512440985e+01 -4.467888218145674e+00  0.000000000000000e+00	0	0
9	 7.892885247035849e+02 -1.728300791173585e+03  0.000000000000000e+00	2.855734598165009e+01 1.304170292255717e+01 0.000000000000000e+00	0	0
10	 1.598381712379243e+03 -1.027217553165637e+03  0.000000000000000e+00	1.697309126628111e+01 2.641064553361759e+01 0.000000000000000e+00	0	0
