0	0 0 0	1
1	   0 2000    0	1
2	2000 2000    0	1
3	   0    0 2000	1
4	2000 2000 2000	1
5	2000 0 0	1
6	2000    0 2000	1
7	   0 2000 2000	1
8	1000    0 2000	1
9	2000    0 1000	1
10	1000 0 0	1
11	   0    0 1000	1
12	   0 2000 1000	1
13	1000 2000    0	1
14	1000 2000 2000	1
15	2000 2000 1000	1
16	2000 1000 2000	1
17	2000 1000    0	1
18	   0 1000    0	1
19	   0 1000 2000	1
20	1000 2000 1000	1
21	1000 1000 2000	1
22	1000 1000    0	1
23	2000 1000 1000	1
24	   0 1000 1000	1
25	1000    0 1000	1
26	1500 2000    0	1
27	2000 1500    0	1
28	1416.67 1416.67       0	1
29	1500 2000  625	1
30	1208.33 1208.33 791.667	0
31	 500 2000 2000	1
32	   0 1500 2000	1
33	583.333 1416.67    2000	1
34	 500 2000 1375	1
35	2000  500 2000	1
36	2000    0 1500	1
37	   2000 583.333 1416.67	1
38	1375  500 2000	1
39	   0  500 2000	1
40	   0    0 1500	1
41	      0 583.333 1416.67	1
42	 625  500 2000	1
43	  0 500   0	1
44	  0   0 500	1
45	      0 583.333 583.333	1
46	625 500   0	1
47	2000 2000  500	1
48	  1250 1738.1      0	1
49	 1250  2000 312.5	1
50	   0 1500    0	1
51	 500 2000    0	1
52	 500 2000  625	1
53	583.333 1416.67       0	1
54	996.056 1412.72       0	1
55	1677.08 1677.08       0	1
56	1687.5  2000 312.5	1
57	   2000 1416.67 583.333	1
58	2000 1750    0	1
59	2000 2000  250	1
60	   2000    1625 315.476	1
61	1538.11 1536.88 461.886	0
62	1500 0 0	1
63	2000 500   0	1
64	   1500 916.667       0	1
65	1250   0 500	1
66	   1250 458.333       0	1
67	2000 1500 2000	1
68	1500 2000 2000	1
69	2000 1250 1500	1
70	1500 1250 2000	1
71	   1500    2000 1145.83	1
72	   0 1250 1500	1
73	1023.03 1439.69 1439.69	0
74	   0 2000 1500	1
75	322.917 1677.08    2000	1
76	   0 1625 1625	1
77	 312.5   2000 1687.5	1
78	1500    0 1250	1
79	1500    0 2000	1
80	1610.58 846.154    2000	1
81	  2000    750 1738.1	1
82	1323.01 788.621 1353.09	0
83	   2000 322.917 1677.08	1
84	1625    0 1625	1
85	1687.5 312.5  2000	1
86	 500    0 1250	1
87	      0 894.608  1634.8	1
88	312.5  750 2000	1
