0	 7.359781011939122e+02 -6.000000000000002e+03  7.240694535739384e+03	 4.818486922886223e-04 -1.568622828926891e-04 -6.387109751813114e-04	1.000000000000000e+00	0	1
1	 6.000000000000000e+03 -6.000000000000000e+03  1.976672636933297e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	0	1
2	5.999999999999998e+03 1.414339931835993e+03 9.391012568769293e+03	-3.682926471810788e-04  1.198949539684691e-04  4.881875938735902e-04	1.000000000000000e+00	0	1
3	 4.245326033731303e+03 -1.057106712109338e+03  8.674239891092657e+03	 7.828588713891804e-04 -2.548539487179369e-04 -1.037712791003287e-03	1.000000000000000e+00	0	0
4	 1.905760745373042e+03 -4.352368904036447e+03  7.718542987523809e+03	-3.569218824850395e-05  1.161932868853910e-05  4.731151784653775e-05	1.000000000000000e+00	0	0
5	-1.707605866894079e+03 -3.046468187197106e+03  1.200000000000000e+04	 1.310023362748325e-03  1.179411658085883e-03 -1.306117046624422e-04	1.000000000000000e+00	5	1
6	-4.661137679696969e+03 -6.000000000000000e+03  1.200000000000000e+04	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	5	1
7	 4.426014003274504e+02 -5.999999999999997e+03  6.896260919975585e+03	 3.709522425197065e-04  3.339676477480680e-04 -3.698461296153255e-05	1.000000000000000e+00	5	1
8	-2.741343554130592e+02 -5.015489395732367e+03  8.597507279983725e+03	 1.040691044181585e-03  9.369322215206921e-04 -1.037587862811051e-04	1.000000000000000e+00	5	0
9	-1.229782029733739e+03 -3.702808590042193e+03  1.086583575999458e+04	 2.916714875027537e-03  2.625913126394153e-03 -2.908017777372152e-04	1.000000000000000e+00	5	0
10	-6.000000000000004e+03 -3.840189878600650e+02  7.587394718088033e+03	-7.306152256205678e-04 -2.498268149793148e-03 -1.767652924172580e-03	1.000000000000000e+00	10	1
11	-6.000000000000000e+03  4.028586294051906e+03  1.200000000000000e+04	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	10	1
12	-4.028586294051906e+03  6.000000000000000e+03  1.200000000000000e+04	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	10	1
13	6.000000000000001e+03 6.000000000000001e+03 1.971413705948095e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	10	1
14	6.000000000000000e+03 4.028586294051905e+03 0.000000000000000e+00	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	10	1
15	4.024278694308415e+03 2.052864988360322e+03 0.000000000000000e+00	-5.262049962766469e-04 -1.799307065084577e-03 -1.273102010600269e-03	1.000000000000000e+00	10	1
16	6.828524628722757e+02 1.240570329620193e+03 2.529131572696011e+03	-1.581733813509345e-04 -5.408586002886295e-04 -3.826852189376950e-04	1.000000000000000e+00	10	0
17	-3.772382512375910e+03  1.575107846333544e+02  5.901307002957359e+03	-2.349124260945246e-04 -8.032603655010462e-04 -5.683479248546064e-04	1.000000000000000e+00	10	0
18	-4.107257797475986e+03 -6.000000000000002e+03  9.422785261018180e+01	-1.043325173668563e-03 -7.206118316389620e-04  3.227133420296013e-04	1.000000000000000e+00	18	1
19	-6.000000000000000e+03 -6.000000000000000e+03  1.986970055134198e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	18	1
20	-5.999999999999986e+03  4.980357379893062e+02  8.485005793123491e+03	 6.375057273544371e-04  4.403173516038805e-04 -1.971883757505566e-04	1.000000000000000e+00	18	1
21	-5.369085932491987e+03 -1.667976174673796e+03  5.688079812952388e+03	 8.590459823608398e-03  5.933324806392193e-03 -2.657135017216206e-03	1.000000000000000e+00	18	0
22	-4.527867175814653e+03 -4.555992058224600e+03  1.958845172724251e+03	 3.174912650138140e-03  2.192873042076826e-03 -9.820396080613136e-04	1.000000000000000e+00	18	0
23	-6.000000000000000e+03  1.815112144115309e+03  7.239527224229460e+03	 9.889358625514433e-05 -1.041449722833931e-03 -1.140343374572694e-03	1.000000000000000e+00	23	1
24	-6.000000000000000e+03  6.000000000000000e+03  1.142441508011415e+04	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	23	1
25	1.367888405205839e+03 6.000000000000000e+03 4.056526674908311e+03	-1.769031659932807e-04  1.862969715148211e-03  2.039872808381915e-03	1.000000000000000e+00	23	1
26	-1.088074396529440e+03  4.605037381371770e+03  5.117526858015361e+03	 3.663045063149184e-04 -3.857557661831379e-03 -4.223862197250128e-03	1.000000000000000e+00	23	0
27	-4.362691465509813e+03  2.745087223200796e+03  6.532193768824760e+03	 8.287199307233095e-04 -8.727260865271091e-03 -9.555980563163757e-03	1.000000000000000e+00	23	0
28	-6.000000000000002e+03  3.202300753185107e+03  6.833493036210174e+03	-1.789503265172243e-03 -2.528815763071179e-03 -7.393124396912754e-04	1.000000000000000e+00	28	1
29	-6.000000000000000e+03  6.000000000000000e+03  9.631192283025068e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	28	1
30	3.631192283025066e+03 6.000000000000000e+03 0.000000000000000e+00	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	28	1
31	-8.283738978989115e+02  1.540433819076024e+03  0.000000000000000e+00	1.200577942654490e-03 1.696582883596420e-03 4.960048245266080e-04	1.000000000000000e+00	28	1
32	-2.552249265265942e+03  2.094389463779051e+03  2.277831012070058e+03	-4.143971309531480e-04 -5.856005009263754e-04 -1.712033554213122e-04	1.000000000000000e+00	28	0
33	-4.850749755088648e+03  2.832996990049755e+03  5.314939028163469e+03	-6.911285687237978e-03 -9.766602888703346e-03 -2.855317201465368e-03	1.000000000000000e+00	28	0
34	1.368040463623170e+03 6.000000000000000e+03 2.491856493242048e+03	 2.013254910707474e-03 -1.038377638906240e-03 -9.748772135935724e-04	1.000000000000000e+00	34	1
35	-6.000000000000000e+03  6.000000000000000e+03  9.859896956865217e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	34	1
36	-6.000000000000000e+03  3.859896956865216e+03  1.200000000000000e+04	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	34	1
37	 1.170188417504946e+03 -3.310291460639730e+03  1.200000000000000e+04	-1.611715299077332e-03  8.312753634527326e-04  7.804399356245995e-04	1.000000000000000e+00	34	1
38	 1.236139099544354e+03 -2.068609737598204e+02  8.830618831080685e+03	 3.339248360134661e-04 -1.722286106087267e-04 -1.616962108528242e-04	1.000000000000000e+00	34	0
39	1.324073342263564e+03 3.931046342080059e+03 4.604777272521595e+03	 4.714281763881445e-03 -2.431488130241632e-03 -2.282793866470456e-03	1.000000000000000e+00	34	0
40	-6.000000000000007e+03 -3.933493067211974e+03  2.400261333508083e+03	-6.259966903598979e-05  1.809652603697032e-04  2.435649221297354e-04	1.000000000000000e+00	40	1
41	-6.000000000000000e+03  5.666245599279951e+03  1.200000000000000e+04	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	40	1
42	-5.666245599279951e+03  6.000000000000000e+03  1.200000000000000e+04	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	40	1
