142
3
154
154
5	1.717295313879340e+02 6.516475394179016e+02 7.110446443689723e+02	-2.493138483568020e-03  1.011697152916625e-01 -9.867657680809452e-02	1.000000000000000e+00	0	5
6	3.040494301487697e+02 6.362721670545734e+02 5.941001179714647e+02	-4.920594382386545e-02  8.122868843877339e-02 -3.202274461490793e-02	1.000000000000000e+00	0	6
16	2.418454262052245e+02 1.052608431853435e+03 2.810098645038188e+02	 6.085768990326233e-03  1.813043394559451e-02 -1.204466495526828e-02	1.000000000000000e+00	0	16
22	1.949003671804442e+02 8.448909735039789e+02 4.946303744903847e+02	 5.336168488733829e-02 -8.431805598290282e-02  3.095637109556453e-02	1.000000000000000e+00	0	22
23	1.167841288306279e+02 7.395469835284375e+02 6.780906028157424e+02	 1.462835326267305e-01 -8.268319135939894e-02 -6.360034126733158e-02	1.000000000000000e+00	0	23
37	1.170381619004583e+03 2.691658800083965e+02 4.939222330327356e+02	 6.549655187774044e-03  1.173034652901618e-02 -5.180691341242138e-03	1.000000000000000e+00	0	37
43	1.378861471135251e+03 1.085763192742765e+03 1.384871148544516e+03	-2.367485523422661e-03 -3.312499536990544e-03  9.450140135678826e-04	1.000000000000000e+00	0	43
44	1.178880576299169e+03 1.159044900066615e+03 1.111608546384583e+03	-9.445692214831552e-04 -1.671320038645385e-03  7.267508171622301e-04	1.000000000000000e+00	0	44
45	9.331460740328711e+02 1.132057069128783e+03 8.928618750561175e+02	 5.526765452995680e-04  1.509188058557187e-03 -9.565115132576189e-04	1.000000000000000e+00	0	45
46	7.022910625957762e+02 1.099082795072275e+03 6.949811376755307e+02	-3.709737472230814e-05  8.179381614386817e-06 -4.527675633669274e-05	1.000000000000000e+00	0	46
47	5.254855752694339e+02 1.100416378502344e+03 5.168420669191188e+02	-6.403898501722211e-04 -1.019074578053778e-03  3.786847278815566e-04	1.000000000000000e+00	0	47
48	3.288481140238553e+02 1.074573614670378e+03 3.460473695055064e+02	 3.183160132167233e-03  1.118250356888628e-02 -7.999343436719049e-03	1.000000000000000e+00	0	48
55	1.370044245831816e+03 2.566906303450956e+02 7.060601095232690e+02	 7.983181733251375e-03  1.590075102877641e-02 -7.917569295525036e-03	1.000000000000000e+00	0	55
