0	0	1
0	1	5
0	5	8
0	8	4
0	4	0
1	1	2
1	2	6
1	6	9
1	9	10
1	10	5
1	5	1
2	2	3
2	3	7
2	7	11
2	11	12
2	12	13
2	13	14
2	14	15
2	15	6
2	6	2
3	3	0
3	0	4
3	4	16
3	16	17
3	17	18
3	18	19
3	19	20
3	20	7
3	7	3
4	21	22
4	22	26
4	26	29
4	29	25
4	25	21
5	22	23
5	23	27
5	27	30
5	30	31
5	31	26
5	26	22
6	23	24
6	24	28
6	28	27
6	27	23
7	24	21
7	21	25
7	25	28
7	28	24
8	32	33
8	33	37
8	37	40
8	40	41
8	41	36
8	36	32
9	33	34
9	34	38
9	38	42
9	42	37
9	37	33
10	34	35
10	35	39
10	39	43
10	43	44
10	44	38
10	38	34
11	35	32
11	32	36
11	36	45
11	45	39
11	39	35
12	46	47
12	47	51
12	51	50
12	50	46
13	47	48
13	48	52
13	52	54
13	54	51
13	51	47
14	48	49
14	49	53
14	53	55
14	55	52
14	52	48
15	49	46
15	46	50
15	50	56
15	56	53
15	53	49
16	57	58
16	58	62
16	62	65
16	65	66
16	66	61
16	61	57
17	58	59
17	59	63
17	63	67
17	67	68
17	68	69
17	69	70
17	70	62
17	62	58
18	59	60
18	60	64
18	64	71
18	71	72
18	72	63
18	63	59
19	60	57
19	57	61
19	61	73
19	73	74
19	74	75
19	75	76
19	76	64
19	64	60
20	77	78
20	78	82
20	82	85
20	85	81
20	81	77
21	78	79
21	79	83
21	83	82
21	82	78
22	79	80
22	80	84
22	84	86
22	86	83
22	83	79
23	80	77
23	77	81
23	81	84
23	84	80
