42
21
70
0	-7.259629620181888e+02  1.828952341278108e+02 -1.733333333333334e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	0	0
1	-1.085644611381746e+03 -1.686065439615756e+03 -1.190666666666667e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	0	0
2	-1.257707261470473e+03 -1.388044187577135e+03 -1.677333333333334e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	0	0
3	-8.980256121069154e+02  4.809164861664310e+02 -6.600000000000002e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	0	0
4	-9.058037866999674e+02 -7.515851027439726e+02 -6.820000000000003e+02	-2.716680990840826e-02  3.761027086211203e-11  9.604917777752180e-03	1.000000000000000e+00	0	0
5	-1.077866436788694e+03 -4.535638507053521e+02 -1.168666666666667e+03	 2.967043954849790e-02  1.940784903293604e-10 -1.049008438391588e-02	1.000000000000000e+00	0	0
6	 4.549053625633455e+02  1.570122925124018e+03 -1.141333333333334e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	6	0
7	 2.286311925836503e+02  1.766082104546673e+03 -1.301333333333334e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	6	0
8	 6.128258770283423e+00  1.766082104546673e+03 -9.866666666666671e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	6	0
9	 2.324024287499786e+02  1.570122925124019e+03 -8.266666666666671e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	6	0
10	 3.417682775734979e+02  1.668102514835346e+03 -1.221333333333334e+03	1.355748786448593e-02 2.348225750029087e-02 9.586591604832325e-03	1.000000000000000e+00	6	0
11	 1.192653437601310e+02  1.668102514835346e+03 -9.066666666666671e+02	-1.508802749848146e-02 -2.613322995603085e-02 -1.066884655890534e-02	1.000000000000000e+00	6	0
12	 9.621366269344959e+02 -1.841199789992024e+03  4.323333333333335e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	12	0
13	 1.512737107218421e+03 -1.364365786730231e+03  8.216666666666670e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	12	0
14	 8.178868435724401e+02 -1.364365786730231e+03  1.804333333333334e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	12	0
15	 2.672863632885148e+02 -1.841199789992024e+03  1.415000000000000e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	12	0
16	 1.237436867076458e+03 -1.602782788361128e+03  6.270000000000002e+02	 1.397381533863594e-02 -2.420335821807384e-02  9.880979584998067e-03	1.000000000000000e+00	12	0
17	 5.425866034304775e+02 -1.602782788361128e+03  1.609666666666667e+03	-1.405982054008213e-02  2.435232326388359e-02 -9.941794446157984e-03	1.000000000000000e+00	12	0
18	 4.006938426723770e+02 -6.874901211411459e+02  6.403333333333336e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	18	0
19	 2.291025971044415e+02 -5.388877434122996e+02  5.190000000000002e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	18	0
20	 4.336921591277492e+02 -5.388877434122996e+02  2.296666666666668e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	18	0
21	 6.052834046956847e+02 -6.874901211411459e+02  3.510000000000001e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	18	0
22	 3.148982198884092e+02 -6.131889322767228e+02  5.796666666666670e+02	1.395429647988454e-02 2.416955120861530e-02 9.867177667613932e-03	1.000000000000000e+00	18	0
23	 5.194877819117169e+02 -6.131889322767228e+02  2.903333333333334e+02	-1.425559557595589e-02 -2.469141595065594e-02 -1.008022830161136e-02	1.000000000000000e+00	18	0
24	 5.967981233214462e+02 -1.535013572144126e+02 -1.698000000000001e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	24	0
25	-1.849791339584008e+03  6.940220937885678e+02 -3.140000000000001e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	24	0
26	-1.541021378465883e+03  1.592168332809067e+02  5.593333333333336e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	24	0
27	 9.055680844395720e+02 -6.883066177220735e+02 -8.246666666666670e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	24	0
28	-6.264966081312812e+02  2.702603682870776e+02 -1.006000000000000e+03	1.315371597288496e-02 2.278290505775233e-02 9.301082181327448e-03	1.000000000000000e+00	24	0
29	-3.177266470131553e+02 -2.645448922205834e+02 -1.326666666666667e+02	-1.381246393598173e-02 -2.392389030939631e-02 -9.766887523070372e-03	1.000000000000000e+00	24	0
30	 1.671600430724998e+03  1.613397243913188e+03 -2.940000000000001e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	30	0
31	1.463239632535362e+03 1.252505755143133e+03 8.846666666666671e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	30	0
32	1.587690426024195e+03 1.180654056021493e+03 8.846666666666671e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	30	0
33	 1.796051224213831e+03  1.541545544791548e+03 -2.940000000000001e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	30	0
34	1.567420031630180e+03 1.432951499528160e+03 2.953333333333335e+02	-2.554222261861992e-04 -4.424042731368470e-04 -1.806107902666554e-04	1.000000000000000e+00	30	0
35	1.691870825119013e+03 1.361099800406520e+03 2.953333333333335e+02	1.229417539434507e-04 2.129413624061272e-04 8.693294512340799e-05	1.000000000000000e+00	30	0
36	-5.666282339908203e+02  3.723224409030433e+02 -6.896666666666670e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	36	0
37	 9.069822980019451e+02  3.723224409030433e+02 -6.896666666666670e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	36	0
38	 9.069822980019451e+02  1.817521389145119e+03 -6.896666666666670e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	36	0
39	-5.666282339908200e+02  1.817521389145120e+03 -6.896666666666670e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	36	0
40	 1.701770320055624e+02  3.723224409030433e+02 -6.896666666666670e+02	0.000000000000000e+00 0.000000000000000e+00 4.506489727646112e-03	1.000000000000000e+00	36	0
41	 1.701770320055625e+02  1.817521389145119e+03 -6.896666666666670e+02	-1.849477580611799e-17  0.000000000000000e+00 -1.220008358359337e-03	1.000000000000000e+00	36	0
0	-9.428090415820635e-01  0.000000000000000e+00  3.333333333333335e-01	-2.886751345948130e-01  4.999999999999999e-01 -8.164965809277261e-01	-1.277506251343697e+02  2.212705734314139e+02 -3.613333333333337e+02	1	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1	-9.428090415820635e-01  0.000000000000000e+00  3.333333333333335e-01	-9.428090415820635e-01  0.000000000000000e+00  3.333333333333331e-01	-5.908269993914266e+02  0.000000000000000e+00  2.088888888888888e+02	1	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
2	-9.428090415820635e-01  0.000000000000000e+00  3.333333333333335e-01	-2.886751345948130e-01  4.999999999999999e-01 -8.164965809277261e-01	-2.998132752230965e+02  5.192918254700340e+02 -8.480000000000008e+02	1	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
3	4.714045207910317e-01 8.164965809277267e-01 3.333333333333335e-01	 5.773502691896258e-01  0.000000000000000e+00 -8.164965809277259e-01	 6.896648139172797e+02  0.000000000000000e+00 -9.753333333333336e+02	1	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
4	4.714045207910317e-01 8.164965809277267e-01 3.333333333333335e-01	4.714045207910318e-01 8.164965809277259e-01 3.333333333333333e-01	5.260874452027920e+02 9.112101843153429e+02 3.720000000000003e+02	1	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
5	4.714045207910317e-01 8.164965809277267e-01 3.333333333333335e-01	 5.773502691896258e-01  0.000000000000000e+00 -8.164965809277259e-01	 4.671618801039127e+02  0.000000000000000e+00 -6.606666666666669e+02	1	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
6	 4.714045207910317e-01 -8.164965809277267e-01  3.333333333333335e-01	 5.773502691896258e-01  0.000000000000000e+00 -8.164965809277259e-01	 1.169083211561759e+02  0.000000000000000e+00 -1.653333333333334e+02	1	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
7	 4.714045207910317e-01 -8.164965809277267e-01  3.333333333333335e-01	 4.714045207910318e-01 -8.164965809277259e-01  3.333333333333334e-01	 9.904208981819588e+02 -1.715459316529154e+03  7.003333333333341e+02	1	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
8	 4.714045207910317e-01 -8.164965809277267e-01  3.333333333333335e-01	-5.773502691896258e-01  0.000000000000000e+00  8.164965809277259e-01	-5.779419424898051e+02  0.000000000000000e+00  8.173333333333336e+02	1	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
9	4.714045207910317e-01 8.164965809277267e-01 3.333333333333335e-01	-5.773502691896258e-01  0.000000000000000e+00  8.164965809277259e-01	-1.682914139223984e+02  0.000000000000000e+00  2.380000000000001e+02	1	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
10	4.714045207910317e-01 8.164965809277267e-01 3.333333333333335e-01	-4.714045207910318e-01 -8.164965809277259e-01 -3.333333333333333e-01	-7.495331880577412e+01 -1.298229563675085e+02 -5.300000000000004e+01	1	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
11	4.714045207910317e-01 8.164965809277267e-01 3.333333333333335e-01	 5.773502691896258e-01  0.000000000000000e+00 -8.164965809277259e-01	 3.629814810090946e+01  0.000000000000000e+00 -5.133333333333334e+01	1	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
12	4.714045207910317e-01 8.164965809277267e-01 3.333333333333335e-01	-2.886751345948130e-01  4.999999999999999e-01 -8.164965809277261e-01	-3.283332487309539e+02  5.686898686161614e+02 -9.286666666666674e+02	1	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
13	4.714045207910317e-01 8.164965809277267e-01 3.333333333333335e-01	-4.714045207910318e-01 -8.164965809277259e-01 -3.333333333333333e-01	-1.932758535243232e+02 -3.347635981803679e+02 -1.366666666666668e+02	1	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
14	4.714045207910317e-01 8.164965809277267e-01 3.333333333333335e-01	-2.886751345948130e-01  4.999999999999999e-01 -8.164965809277261e-01	-1.956328761282783e+01  3.388460810850064e+01 -5.533333333333337e+01	1	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
15	-4.714045207910317e-01 -8.164965809277267e-01 -3.333333333333335e-01	 8.660254037844388e-01 -4.999999999999998e-01  0.000000000000000e+00	 5.550788232314402e+02 -3.204749080141325e+02  0.000000000000000e+00	1	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
16	-4.714045207910317e-01 -8.164965809277267e-01 -3.333333333333335e-01	4.714045207910318e-01 8.164965809277259e-01 3.333333333333333e-01	9.462660080678653e+02 1.638980803448923e+03 6.691111111111115e+02	1	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
17	-4.714045207910317e-01 -8.164965809277267e-01 -3.333333333333335e-01	 8.660254037844388e-01 -4.999999999999998e-01  0.000000000000000e+00	 6.795296167202725e+02 -3.923266071357724e+02  0.000000000000000e+00	1	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
18	 0.000000000000000e+00  0.000000000000000e+00 -1.000000000000000e+00	0.000000000000000e+00 1.000000000000000e+00 0.000000000000000e+00	0.000000000000000e+00 3.723224409030434e+02 0.000000000000000e+00	1	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
19	 0.000000000000000e+00  0.000000000000000e+00 -1.000000000000000e+00	 0.000000000000000e+00  0.000000000000000e+00 -1.000000000000000e+00	 0.000000000000000e+00  0.000000000000000e+00 -6.896666666666671e+02	1	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
20	 0.000000000000000e+00  0.000000000000000e+00 -1.000000000000000e+00	0.000000000000000e+00 1.000000000000000e+00 0.000000000000000e+00	0.000000000000000e+00 1.817521389145120e+03 0.000000000000000e+00	1	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
0	0	1	0
1	1	0	0
1	0	3	0
0	4	0	0
1	2	1	0
0	1	4	0
1	3	2	0
2	2	3	0
2	5	2	0
2	3	5	0
3	6	7	0
4	7	6	0
4	6	9	0
3	10	6	0
4	8	7	0
3	7	10	0
4	9	8	0
5	8	9	0
5	11	8	0
5	9	11	0
6	12	13	0
7	13	12	0
7	12	15	0
6	16	12	0
7	14	13	0
6	13	16	0
7	15	14	0
8	14	15	0
8	17	14	0
8	15	17	0
9	18	19	0
10	19	18	0
10	18	21	0
9	22	18	0
10	20	19	0
9	19	22	0
10	21	20	0
11	20	21	0
11	23	20	0
11	21	23	0
12	24	25	0
13	25	24	0
13	24	27	0
12	28	24	0
13	26	25	0
12	25	28	0
13	27	26	0
14	26	27	0
14	29	26	0
14	27	29	0
15	30	31	0
16	31	30	0
16	30	33	0
15	34	30	0
16	32	31	0
15	31	34	0
16	33	32	0
17	32	33	0
17	35	32	0
17	33	35	0
18	36	37	0
19	37	36	0
19	36	39	0
18	40	36	0
19	38	37	0
18	37	40	0
19	39	38	0
20	38	39	0
20	41	38	0
20	39	41	0
